date,term,spot,forward_force
1970-01-31T00:00:00Z,1,0.08635354135184983,0.08282671305650507
1970-01-31T00:00:00Z,2,0.08700726577762534,0.08402987167305143
1970-01-31T00:00:00Z,3,0.0861870196246962,0.08116366412406495
1970-01-31T00:00:00Z,4,0.08528371639779292,0.07934552145631224
1970-01-31T00:00:00Z,5,0.0845061086350611,0.07825764940520774
1970-01-31T00:00:00Z,6,0.08388097599332006,0.07766515775330951
1970-01-31T00:00:00Z,7,0.0834054862466512,0.07747657954579451
1970-01-31T00:00:00Z,8,0.08307104562615915,0.07763937602624116
1970-01-31T00:00:00Z,9,0.08287012690034662,0.07813083657419784
1970-01-31T00:00:00Z,10,0.08279691142295267,0.07893889394017373
1970-01-31T00:00:00Z,11,0.082846529952286585,0.0800514833136522
1970-01-31T00:00:00Z,12,0.08301466706599019,0.08145638422391543
1970-01-31T00:00:00Z,13,0.08329734815360224,0.08314123933467954
1970-01-31T00:00:00Z,14,0.0836908176980239,0.08509357288041897
1970-01-31T00:00:00Z,15,0.08419146624439783,0.08730080864857825
1970-01-31T00:00:00Z,16,0.08479578475565773,0.08975028744154989
1970-01-31T00:00:00Z,17,0.08550033507788407,0.09242928396705574
1970-01-31T00:00:00Z,18,0.08630173025054094,0.09532502311448332
1970-01-31T00:00:00Z,19,0.08719662103453293,0.09842469558126554
1970-01-31T00:00:00Z,20,0.08818168648184527,0.1017154728187395
1970-01-31T00:00:00Z,21,0.08925362719957194,0.10518452127162115
1970-01-31T00:00:00Z,22,0.09040916045102759,0.10881901588959075
1970-01-31T00:00:00Z,23,0.09164501653482979,0.11260615289361775
1970-01-31T00:00:00Z,24,0.09295793304550408,0.1165330953866186
1970-01-31T00:00:00Z,25,0.0943441099639059,0.12057463643309108
1970-01-31T00:00:00Z,26,NA,0.12057463643309108
1970-01-31T00:00:00Z,27,NA,0.12057463643309108
1970-01-31T00:00:00Z,28,NA,0.12057463643309108
1970-01-31T00:00:00Z,29,NA,0.12057463643309108
1970-01-31T00:00:00Z,30,NA,0.12057463643309108
1970-01-31T00:00:00Z,31,NA,0.12057463643309108
1970-01-31T00:00:00Z,32,NA,0.12057463643309108
1970-01-31T00:00:00Z,33,NA,0.12057463643309108
1970-01-31T00:00:00Z,34,NA,0.12057463643309108
1970-01-31T00:00:00Z,35,NA,0.12057463643309108
1970-01-31T00:00:00Z,36,NA,0.12057463643309108
1970-01-31T00:00:00Z,37,NA,0.12057463643309108
1970-01-31T00:00:00Z,38,NA,0.12057463643309108
1970-01-31T00:00:00Z,39,NA,0.12057463643309108
1970-01-31T00:00:00Z,40,NA,0.12057463643309108
1970-02-28T00:00:00Z,1,0.08413131387667941,0.08077903394342709
1970-02-28T00:00:00Z,2,0.08370748078023132,0.07999699590094361
1970-02-28T00:00:00Z,3,0.08301589869174533,0.07847291458628472
1970-02-28T00:00:00Z,4,0.08230804434316545,0.07713441128323018
1970-02-28T00:00:00Z,5,0.08169616763666436,0.07626831798641392
1970-02-28T00:00:00Z,6,0.08121152827795342,0.07584151338497264
1970-02-28T00:00:00Z,7,0.08085615926216681,0.07578108290350899
1970-02-28T00:00:00Z,8,0.0806223584061679,0.0760227935860952
1970-02-28T00:00:00Z,9,0.08050261288593476,0.07653977305558379
1970-02-28T00:00:00Z,10,0.08049073710901228,0.07731640482977065
1970-02-28T00:00:00Z,11,0.0805812812617643,0.07833707564008652
1970-02-28T00:00:00Z,12,0.08076922473486578,0.07958607571751952
1970-02-28T00:00:00Z,13,0.08104981104472143,0.08104761866290855
1970-02-28T00:00:00Z,14,0.08141845350284824,0.08270586038733185
1970-02-28T00:00:00Z,15,0.08187067861750437,0.08454491705539513
1970-02-28T00:00:00Z,16,0.08240209071970779,0.08654888198537991
1970-02-28T00:00:00Z,17,0.0830083490741892,0.08870184147271143
1970-02-28T00:00:00Z,18,0.08368515262002736,0.09098788951139536
1970-02-28T00:00:00Z,19,0.08442822953003118,0.09339114139488314
1970-02-28T00:00:00Z,20,0.0852333299023072,0.09589574618339136
1970-02-28T00:00:00Z,21,0.08609622053995065,0.09848589802990415
1970-02-28T00:00:00Z,22,0.08701268115445711,0.10114584636132595
1970-02-28T00:00:00Z,23,0.08797850155954837,0.10385990491559394
1970-02-28T00:00:00Z,24,0.08898948009045107,0.1066124711852603
1970-02-28T00:00:00Z,25,0.09004147571329182,0.10938925579265568
1970-02-28T00:00:00Z,26,NA,0.10938925579265568
1970-02-28T00:00:00Z,27,NA,0.10938925579265568
1970-02-28T00:00:00Z,28,NA,0.10938925579265568
1970-02-28T00:00:00Z,29,NA,0.10938925579265568
1970-02-28T00:00:00Z,30,NA,0.10938925579265568
1970-02-28T00:00:00Z,31,NA,0.10938925579265568
1970-02-28T00:00:00Z,32,NA,0.10938925579265568
1970-02-28T00:00:00Z,33,NA,0.10938925579265568
1970-02-28T00:00:00Z,34,NA,0.10938925579265568
1970-02-28T00:00:00Z,35,NA,0.10938925579265568
1970-02-28T00:00:00Z,36,NA,0.10938925579265568
1970-02-28T00:00:00Z,37,NA,0.10938925579265568
1970-02-28T00:00:00Z,38,NA,0.10938925579265568
1970-02-28T00:00:00Z,39,NA,0.10938925579265568
1970-02-28T00:00:00Z,40,NA,0.10938925579265568
1970-03-31T00:00:00Z,1,0.07744187343770059,0.07458959577516568
1970-03-31T00:00:00Z,2,0.07795016900225868,0.07553289623090122
1970-03-31T00:00:00Z,3,0.07784963299518331,0.07478143521432726
1970-03-31T00:00:00Z,4,0.07766458650809352,0.07428119210077555
