"","Year","country","Sex","Age","Cause","mu","delta","fx","spx","vs","sEx","ax","hp","hc","dp","dc","Hp","Hc","Dp","Dc","rho","phi"
"1",2002,"England and Wales","Females",65,"1",0.00791648164985331,0.0488789137620289,0.00788526985280635,1,1,1,13.0925893403552,3.15962647435919,133.388862001022,6.51990268256312,133.388862001022,0.241329380477877,10.1881192889689,0.497984204122774,10.1881192889689,0.0274048958091981,0.0399999779177869
"2",2002,"England and Wales","Females",65,"2",0.0022402460569654,0.0488789137620289,0.00223773951340467,1,1,1,15.3480492013441,2.24905962630511,183.829813417295,8.98540159691381,183.829813417295,0.146537165525124,11.9774057931216,0.585442584854817,11.9774057931216,0.00758830095042817,0.0399999779177869
"3",2002,"England and Wales","Females",66,"1",0.00874621336025874,0.0488789137620289,0.00863946580211095,0.992114730147194,0.95229643271003,0.944787318358247,12.799271439596,3.0559792310972,132.388862001022,5.87995113727424,132.388862001022,0.23876196746974,10.3434685814586,0.459397330935878,10.3434685814586,0.0300740575668013,0.0399999779177869
"4",2002,"England and Wales","Females",66,"2",0.0024750477371549,0.0488789137620289,0.00246645692571956,0.997762260486595,0.95229643271003,0.950165441354081,15.100579937844,2.21467621959969,182.829813417295,8.23520562358594,182.829813417295,0.146661666552913,12.1074696581089,0.545356910627482,12.1074696581089,0.0102574627080313,0.0399999779177869
"5",2002,"England and Wales","Females",67,"1",0.0096887335258688,0.0488789137620289,0.00948269212695985,0.983475264345083,0.906868495752249,0.891882733586171,12.499179098549,2.95021486464846,130.499287364305,5.28887850574739,130.499287364305,0.236032689938089,10.4406286473209,0.423138068832165,10.4406286473209,0.0342112969856358,0.0399999779177869
"6",2002,"England and Wales","Females",67,"2",0.00274176686542541,0.0488789137620289,0.00272513321552303,0.995295803560876,0.906868495752249,0.902602408203777,14.8436162348076,2.17916411289131,180.929482534586,7.53388856402009,180.929482534586,0.146808168469168,12.1890434023964,0.507550750763379,12.1890434023964,0.014394702126866,0.0399999779177869
"7",2002,"England and Wales","Females",68,"1",0.0107630077289779,0.0488789137620289,0.0104269767669842,0.973992572218123,0.863607633441978,0.841147420283358,12.1927726830047,2.84220678145819,127.823639163547,4.74398605207802,127.823639163547,0.233105861591259,10.48355796395,0.389081808987596,10.48355796395,0.0388355857881557,0.0399999779177869
"8",2002,"England and Wales","Females",68,"2",0.00304577041827384,0.0488789137620289,0.00301854548750813,0.992570670345353,0.863607633441978,0.857191607640868,14.5769991684535,2.14243023913135,178.221675309975,6.87901455912185,178.221675309975,0.146973338913804,12.2262252505076,0.471908825652465,12.2262252505076,0.0190189909293857,0.0399999779177869
"9",2002,"England and Wales","Females",69,"1",0.0119916861394255,0.0488789137620289,0.0114859084905761,0.963565595451139,0.822410468587947,0.792446432870195,11.8806413627577,2.73182224288925,124.459049482413,4.24268785762946,124.459049482413,0.229938953586521,10.4757854127771,0.357109328367492,10.4757854127771,0.0429637171518591,0.0399999779177869
"10",2002,"England and Wales","Females",69,"2",0.00339346805543501,0.0488789137620289,0.00335232552011089,0.989552124857845,0.822410468587947,0.813818026696538,14.3006045115354,2.10437248082207,174.792908879412,6.2682587794956,174.792908879412,0.147152694078394,12.2227636418039,0.438321245401855,12.2227636418039,0.0231471222930894,0.0399999779177869
"11",2002,"England and Wales","Females",70,"1",0.0130146295582152,0.0488789137620289,0.012310853834592,0.952079686960563,0.783178555459686,0.745648393916283,11.5635271337087,2.61892325357237,120.496817318062,3.78250403539808,120.496817318062,0.226481351519293,10.4204206834784,0.327106426236658,10.4204206834784,0.0495148253870334,0.0399999779177869
"12",2002,"England and Wales","Females",70,"2",0.00417983586016095,0.0488789137620289,0.00411355629150545,0.986199799337734,0.783178555459686,0.772370534239958,14.0143509333902,2.06487899504903,170.723818745929,5.69940159453676,170.723818745929,0.147340323134717,12.1820710468415,0.40668323646424,12.1820710468415,0.0151761631422663,0.0399999779177869
"13",2002,"England and Wales","Females",71,"1",0.0145909878138038,0.0488789137620289,0.0136128431774768,0.939768833125971,0.745818144539254,0.700896647417831,11.2380007385674,2.50670688210212,116.022926954565,3.36105413401999,116.022926954565,0.22305630159815,10.3241608230536,0.299079365823966,10.3241608230536,0.049800962592994,0.0399999779177869
"14",2002,"England and Wales","Females",71,"2",0.00468610603371429,0.0488789137620289,0.00459140236999211,0.982086243046228,0.745818144539254,0.732457739566264,13.7235237478155,2.01963531596431,166.089595540489,5.17032295072281,166.089595540489,0.147165943170084,12.1025473189367,0.376748934583643,12.1025473189367,0.0154623003482272,0.0399999779177869
"15",2002,"England and Wales","Females",72,"1",0.0163973643635108,0.0488789137620289,0.0150630203084273,0.926155989948494,0.710239958495145,0.657792991861048,10.9088732818834,2.39177838337865,111.11665042264,2.97605071618493,111.11665042264,0.219250725677666,10.1858961554878,0.272810091315967,10.1858961554878,0.0478729586364079,0.0399999779177869
"16",2002,"England and Wales","Females",72,"2",0.00526624989763647,0.0488789137620289,0.00513421308009754,0.977494840676236,0.710239958495145,0.694255895071108,13.4236432269518,1.97253104117938,160.962391363525,4.67899693964431,160.962391363525,0.14694453717445,11.9909616668259,0.348563863068849,11.9909616668259,0.0135342963916409,0.0399999779177869
"17",2002,"England and Wales","Females",73,"1",0.0184484802808189,0.0488789137620289,0.0166546541550162,0.911092969640066,0.676358978843046,0.616225910576834,10.5772692939198,2.27411449766695,105.854306487751,2.6253063651351,105.854306487751,0.215000151218065,10.0077159374774,0.248202659134738,10.0077159374774,0.044487981967305,0.0399999779177869
