country,Year,Sex,Cause,d65,d70,d75,d80,d85,d90,d95
England and Wales,2008,Females,14,175.34,372.62,744.6,1308.02,1878.96,1627.99,919.98
England and Wales,2008,Females,15,26.05,24.04,33.07,31.34,24.56,11.77,1.18
England and Wales,2008,Females,16,242.46,289.48,519.12,899.65,1191.23,966.95,688.51
England and Wales,2009,Females,1,132.29,216.37,349.76,551.85,762.15,481.45,266.33
England and Wales,2009,Females,2,6765.84,8544.45,10001.7,10682.88,9735.31,4215.89,1730.02
England and Wales,2009,Females,3,28.06,37.06,56.12,77.68,117.49,85.52,53.96
England and Wales,2009,Females,4,200.44,297.5,482.05,648.7,868.4,597.59,337.51
England and Wales,2009,Females,5,86.19,263.45,817.77,1998.56,3685.09,3230.81,2207.58
England and Wales,2009,Females,6,437.96,686.16,1151.5,1764.51,2203.7,1287.05,635.99
England and Wales,2009,Females,7,1820.99,3200.41,5547.03,9190.77,12887.1,8677.8,5357.66
England and Wales,2009,Females,8,651.43,1317.23,2780.03,5244.08,7838.1,5362.52,3231.58
England and Wales,2009,Females,9,337.74,562.95,987.14,1578.88,1782.78,1029.43,450.01
England and Wales,2009,Females,10,308.68,664.12,1312.85,2645.25,4614.8,4086.03,3550.73
England and Wales,2009,Females,11,1142.51,1814.07,2823.12,3753.99,4044.71,2394.6,1455.65
England and Wales,2009,Females,12,699.53,992.68,1539.34,2321.4,2899.44,1635.47,823.11
England and Wales,2009,Females,13,163.36,265.45,457.99,781.87,1009.39,704.23,454.6
England and Wales,2009,Females,14,174.38,348.59,670.45,1286.3,2039.21,1560.5,1015.97
England and Wales,2009,Females,15,32.07,18.03,27.06,22.2,27.58,10.56,5.74
England and Wales,2009,Females,16,242.53,290.49,497.08,806.08,1213.72,842.55,640.58
England and Wales,2010,Females,1,140.25,173.29,301.57,483.9,649.67,422.55,228.29
England and Wales,2010,Females,2,6748.13,8454.98,9952.87,10984.63,9827.72,4700.97,1778.8
England and Wales,2010,Females,3,37.07,45.07,63.12,89.72,97.04,87.9,54.46
England and Wales,2010,Females,4,166.3,273.45,427.81,722.83,826.38,644.94,426.45
England and Wales,2010,Females,5,111.2,296.49,886.68,2170.51,4109.44,3727.73,2602.73
England and Wales,2010,Females,6,474.85,685.13,1194.26,1898.32,2205.39,1546.16,720.79
England and Wales,2010,Females,7,1797.23,3021,5243.94,8797.98,12321.17,9170.01,5466.19
England and Wales,2010,Females,8,708.27,1298.15,2644.01,4886.42,7617.23,5798.1,3358.28
England and Wales,2010,Females,9,325.59,557.92,984.87,1416.43,1704.86,1132.09,506.41
England and Wales,2010,Females,10,337.61,599.99,1208.29,2481.02,4178.9,4147.1,3454.47
England and Wales,2010,Females,11,1151.07,1943.21,2906.51,3833.93,4217.72,2635.89,1530.81
England and Wales,2010,Females,12,724.3,1067.77,1570.98,2350.97,2844.84,1767.5,871.44
England and Wales,2010,Females,13,172.31,258.43,433.82,746.02,1003.1,766.73,468.17
England and Wales,2010,Females,14,168.3,330.55,706.34,1348.88,2095.07,1713.49,1159.99
England and Wales,2010,Females,15,31.06,28.05,32.06,18.15,21.45,9.53,5.79
England and Wales,2010,Females,16,253.46,318.53,457.87,778.28,1142.02,885.34,626.93
England and Wales,2011,Females,1,140.37,189.3,344.67,542.07,696.93,488.24,254.87
England and Wales,2011,Females,2,7242,8333.35,9799.06,10867.65,9731.41,5258.42,1994.53
England and Wales,2011,Females,3,29.08,38.06,49.1,88.83,101.17,81.55,70.15
England and Wales,2011,Females,4,144.38,256.41,372.72,630.9,710.21,583.56,335.54
England and Wales,2011,Females,5,158.42,410.66,1376.68,3485.6,6284.59,6223.26,3838.24
England and Wales,2011,Females,6,485.27,712.14,1166.27,1859.39,2369.75,1724.21,772.79
England and Wales,2011,Females,7,1656.35,2785.46,4870.47,7870.62,10514.17,8599.88,4884.6
England and Wales,2011,Females,8,654.72,1131.81,2269.41,4035.75,5655.11,4837.96,2774.33
England and Wales,2011,Females,9,288.76,488.78,848.65,1261.8,1420.42,938.36,419.72
England and Wales,2011,Females,10,300.79,592.95,1068.08,2299.51,3970.02,4232.16,3469.96
England and Wales,2011,Females,11,1252.29,1922.08,2786.42,3983.26,4370.6,2790.72,1582.99
England and Wales,2011,Females,12,730.92,1014.63,1423.77,2062.29,2406.54,1772.93,893.21
England and Wales,2011,Females,13,194.51,236.38,423.82,761.12,909.48,741.37,426.73
England and Wales,2011,Females,14,156.41,299.48,499.97,914.55,1396.92,1387.42,903.73
England and Wales,2011,Females,15,43.11,23.04,27.05,27.25,20.44,12.71,3.51
England and Wales,2011,Females,16,242.64,292.47,442.86,791.4,1085.24,882.23,602.1
England and Wales,2012,Females,1,135.33,188.29,338.69,469.3,631.88,493.34,244.2
England and Wales,2012,Females,2,7511.51,8459,9889.1,11088.63,9724.65,5616.88,1961.75
England and Wales,2012,Females,3,35.09,47.07,60.12,63.58,75.66,84.51,47.9
England and Wales,2012,Females,4,174.43,248.38,414.84,628.76,681.98,617.99,370.38
England and Wales,2012,Females,5,178.44,511.79,1432.91,3929.01,7216.55,7592.35,4262.33
England and Wales,2012,Females,6,558.38,735.13,1353.75,2142.64,2801.55,2180.41,882.14
England and Wales,2012,Females,7,1915.72,2723.18,4666.48,7955.92,10506.84,9711.49,5276.5
England and Wales,2012,Females,8,675.66,1081.66,2143.36,3951.21,5601.06,5146.78,2819.35
England and Wales,2012,Females,9,292.72,504.78,900.83,1260.55,1381.35,1034.22,422.96
England and Wales,2012,Females,10,303.75,503.77,1076.19,2353.57,3918.08,4601.68,3484.17
England and Wales,2012,Females,11,1400.45,2049.15,2906.91,4212.61,4617.45,3404.78,1745.59
England and Wales,2012,Females,12,831.05,997.53,1439.93,2085.11,2501.97,1923.71,822.55
England and Wales,2012,Females,13,186.46,263.4,421.86,741.8,914.08,883.15,448.67
England and Wales,2012,Females,14,144.36,278.43,504.02,950.71,1411,1487.41,896.16
England and Wales,2012,Females,15,33.08,26.04,31.06,29.27,30.67,8.45,5.84
England and Wales,2012,Females,16,232.57,256.39,469.95,799.33,1102.22,914.84,565.51
England and Wales,2013,Females,1,146.27,157.28,337.79,505.46,607.32,542.1,230.85
England and Wales,2013,Females,2,7913.73,8507.28,9942.24,11035.36,9442.05,5908.08,1865.54
England and Wales,2013,Females,3,35.07,48.09,61.14,72.64,76.68,74.12,46.87
England and Wales,2013,Females,4,176.33,269.48,394.92,582.14,714.67,655.39,299.99
England and Wales,2013,Females,5,204.38,464.83,1543.61,4118.33,7493.32,8372.95,4414.25
England and Wales,2013,Females,6,609.13,787.41,1308.06,2321.48,2983.42,2361.11,936.28
England and Wales,2013,Females,7,1784.32,2646.75,4515.56,7725.15,10333.6,10042.67,4987.27
England and Wales,2013,Females,8,615.14,1029.85,2100.91,3690.56,5211.28,5298.21,2511.21
England and Wales,2013,Females,9,299.56,495.89,759.78,1197.57,1394.58,971.97,418.34
England and Wales,2013,Females,10,291.54,558,1114.61,2284.15,3962.9,4852.46,3612.72
England and Wales,2013,Females,11,1488.77,2120.81,3206.5,4454.3,4757.32,3838.13,1866.71
England and Wales,2013,Females,12,814.52,952.71,1415.31,2004.69,2518.22,1953.48,774.57
England and Wales,2013,Females,13,181.34,292.53,446.04,730.44,880.3,852.33,424.2
England and Wales,2013,Females,14,177.33,268.48,532.24,910.03,1368,1451.61,854.26
England and Wales,2013,Females,15,31.06,27.05,22.05,35.31,23.52,11.65,3.52
England and Wales,2013,Females,16,279.52,307.55,533.25,838.4,1131.82,1129.73,596.46
England and Wales,2014,Females,1,165.37,221.37,291.61,479.52,587.18,522.32,210.47
England and Wales,2014,Females,2,7722.06,8729.5,10017.81,11010.86,9748.88,6171.27,1861.5
England and Wales,2014,Females,3,34.08,34.06,56.12,59.56,75.7,90.24,44.43
England and Wales,2014,Females,4,203.45,303.5,408.85,612.78,747.79,678.38,347.28
England and Wales,2014,Females,5,194.43,537.89,1672.47,4299.55,7617.02,9229.83,4643.23
England and Wales,2014,Females,6,634.4,866.44,1512.14,2562.17,3175.29,2944.97,1094.45
England and Wales,2014,Females,7,1701.76,2564.26,4347.03,7065.65,9854.25,9738.35,4940.23
England and Wales,2014,Females,8,676.49,1049.74,1954.06,3530.3,5001.29,4966.31,2471.87
England and Wales,2014,Females,9,299.66,474.79,811.69,1080.19,1222.45,953.35,357.8
England and Wales,2014,Females,10,353.78,555.92,1153.4,2386.51,3901.6,4983.3,3530.07
England and Wales,2014,Females,11,1400.09,2085.46,2818.86,3566.64,3480.14,2357.88,785.76
England and Wales,2014,Females,12,799.77,951.58,1427.97,1965.54,2353.85,1924.74,734.31
England and Wales,2014,Females,13,196.43,247.41,396.82,654.17,809.17,832.32,403.4
England and Wales,2014,Females,14,162.36,225.37,469.98,881.31,1219.38,1402.42,777.57
England and Wales,2014,Females,15,63.14,41.07,33.07,40.38,13.3,15.92,3.51
England and Wales,2014,Females,16,330.73,379.63,545.13,833.87,1101.74,1109.41,650.12
England and Wales,2015,Females,1,166.36,225.4,357.59,516.68,637.71,595.68,258.97
England and Wales,2015,Females,2,7863.1,8729.62,10183.93,11071.26,9697.66,6076.53,1933.6
England and Wales,2015,Females,3,40.09,58.1,71.12,76.69,117.71,84.79,58.07
England and Wales,2015,Females,4,218.48,258.46,433.72,684.2,778.97,692.13,351.88
England and Wales,2015,Females,5,216.47,616.1,1842.06,4903.41,9102.94,10685.07,6020.28
England and Wales,2015,Females,6,642.4,977.75,1668.77,3002.19,3935.77,3593.13,1443.52
England and Wales,2015,Females,7,1843.01,2728.88,4264.09,7049.84,9978.13,9770.35,5253.81
England and Wales,2015,Females,8,674.47,1125.01,2073.45,3545.11,4995.21,5024.03,2683.81
England and Wales,2015,Females,9,330.72,487.87,715.19,1114.09,1236.52,915.77,438.98
England and Wales,2015,Females,10,437.95,698.25,1275.12,2627.8,4601.12,5903.76,4342.17
England and Wales,2015,Females,11,1562.4,2199.94,3112.17,3977.02,3976.72,2740.96,1037.06
England and Wales,2015,Females,12,871.9,1045.87,1377.29,2068.73,2446.42,1988.41,805.96
England and Wales,2015,Females,13,198.43,282.51,447.74,680.16,937.62,826.74,412.27
England and Wales,2015,Females,14,170.37,282.51,471.78,920.33,1290.77,1286.74,837.31
England and Wales,2015,Females,15,65.14,39.07,20.03,26.24,20.47,8.48,3.48
England and Wales,2015,Females,16,330.72,364.65,554.92,911.25,1225.26,1210.43,653.82
England and Wales,2016,Females,1,172.59,233.42,345.68,484.85,648.84,571.13,263.52
England and Wales,2016,Females,2,7985.15,9190.35,10407.4,10897.01,9743.88,5925.75,2154.38
England and Wales,2016,Females,3,38.13,43.08,49.1,69.7,85.08,89.17,47.39
England and Wales,2016,Females,4,229.78,306.55,396.78,625.25,781.07,656.06,391.81
England and Wales,2016,Females,5,257.88,731.3,1819.57,4616.18,8982.29,10184.82,6342.94
England and Wales,2016,Females,6,702.39,1089.94,1775.48,3034.35,4305.1,3752.69,1815.74
England and Wales,2016,Females,7,1815.17,2636.69,4035.91,6755.58,9607.55,8993.73,5435.65
England and Wales,2016,Females,8,687.34,1107.97,1898.72,3236.37,4562.38,4328.07,2486.09
England and Wales,2016,Females,9,332.13,451.8,700.37,1042.43,1150.08,934.19,394.12
England and Wales,2016,Females,10,469.6,710.26,1245.44,2361.62,4028.34,4834.45,3831.42
England and Wales,2016,Females,11,1578.37,2325.14,3095.07,3735.37,3769.01,2463.93,1009
England and Wales,2016,Females,12,870.96,1006.79,1351.65,1974.75,2408.81,1849.28,908.45
England and Wales,2016,Females,13,190.65,280.5,418.82,614.14,897.92,782.39,414.93
England and Wales,2016,Females,14,167.57,276.49,450.88,798.99,1159.3,1304.69,895.73
England and Wales,2016,Females,15,45.15,39.07,35.07,30.3,38.95,13.8,4.62
England and Wales,2016,Females,16,338.15,373.66,539.06,909.09,1204.4,1048.84,699.25
