"","x"
"1",34.0398339218822
"2",33.0398339218822
"3",32.0421202561127
"4",31.0469142157759
"5",30.0544570402805
"6",29.0650098318973
"7",28.0788529401299
"8",27.0962849814564
"9",26.1176226949412
"10",25.1432020844547
"11",24.1733801113738
"12",23.2085367507673
"13",22.2490776646605
"14",21.2954387823746
"15",20.3480935190308
"16",19.4075621569584
"17",18.4744234543541
"18",17.5493283045771
"19",16.6330104223511
"20",15.7262905950815
"21",14.8300771524149
"22",13.9453637637393
"23",13.0732245604248
"24",12.2148152888782
"25",11.3713881209119
"26",10.5443156803675
"27",9.73512081081662
"28",8.94551185093611
"29",8.17740743967911
"30",7.43293252665815
"31",6.71438984924166
"32",6.02421235262692
"33",5.36489402843965
"34",4.73891252988344
"35",4.14866230480313
"36",3.59639155619171
"37",3.08413167988458
"38",2.6136192687989
"39",2.18620576326145
"40",1.80274991392447
"41",1.46350617982608
"42",1.16802826001077
"43",0.915101806819897
"44",0.702719180000568
"45",0.528106990707199
"46",0.38781514459438
"47",0.277868150368026
"48",0.19396750739497
"49",0.13172637405751
"50",0.086909007507971
"51",0.0556351277079264
"52",0.0345216368452579
"53",0.0207556142370321
"54",0.0121017953389572
"55",0.00685835710856071
"56",0.00378867923006272
"57",0.00204193576901291
"58",0.00106625069097076
"59",0.000525406901906442
"60",0.000228628466493
"61",7.25806879911144e-05
