"","country","Sex","Year","ax","rhobar","phibar","H","D","Dc","mort","int","adot"
"1","England and Wales","Females",1842,9.80671373704156,0.0191419757191514,0.00519998731778557,0.523947156852795,0.250957190085691,7.73988495453682,0.0100293837545946,0.00130497420575269,0.0113343579603473
"2","England and Wales","Females",1843,9.75576117654136,-0.0143080901044813,0.00504384298514362,0.525628583385068,0.248085419613829,7.69000489725585,-0.00752074113256444,0.00125130390343563,-0.00626943722912881
"3","England and Wales","Females",1844,9.63802754185558,-0.0283542901348994,0.00269248423638229,0.52972051642649,0.244379916355353,7.59556734010211,-0.0150198492131655,0.00065798907247521,-0.0143618601406902
"4","England and Wales","Females",1845,9.53012628298019,-0.0242283371118457,-0.00139924454069927,0.533636715203277,0.242250825334694,7.51886500946878,-0.012929130231203,-0.000338968144829464,-0.0132680983760325
"5","England and Wales","Females",1846,9.46308044192685,-0.0138640892318369,-0.00351872512949925,0.536614988419588,0.241907051114477,7.48182226178988,-0.00743967808259028,-0.00085120441975957,-0.00829088250234985
"6","England and Wales","Females",1847,9.43229661477794,-0.00582060309452081,-0.0027531737840602,0.538843786697,0.242364566246096,7.47536318712703,-0.00313639581231187,-0.000667271769973874,-0.00380366758228574
"7","England and Wales","Females",1848,9.43276544308351,4.89116974263968e-05,0.0002605227078162,0.540322125019701,0.242766473287017,7.48971037863983,2.64280722917514e-05,6.32461789877228e-05,8.96742512794742e-05
"8","England and Wales","Females",1849,9.45626155112362,0.00403356597838449,0.00309040325423939,0.540683032741617,0.242777016564453,7.51321868915967,0.00218088068595634,0.000750278882045318,0.00293115956800165
"9","England and Wales","Females",1850,9.49348712151139,0.00617994211607288,0.00493020942159402,0.539475101229045,0.242245642094686,7.53382617589576,0.00333392489865805,0.00119432174699532,0.00452824664565337
"10","England and Wales","Females",1851,9.53486547666342,0.00686394659818323,0.00491726775785326,0.536740061845614,0.24142279424036,7.54524657961692,0.00368415512161386,0.00118714052212896,0.00487129564374282
"11","England and Wales","Females",1852,9.57227413645319,0.00674529203369225,0.00280329206007831,0.533113650802164,0.240853289080791,7.5485789323789,0.00359600726180843,0.000675182112923926,0.00427118937473235
"12","England and Wales","Females",1853,9.5997627718267,0.00610325314625415,-0.000739623017749973,0.529263118075757,0.240957236795411,7.54625330876273,0.00323022679059215,-0.000178217518627317,0.00305200927196483
"13","England and Wales","Females",1854,9.61837732424506,0.00526558673059746,-0.00294209452718651,0.526009233502527,0.24159170360647,7.54389588420285,0.00276974724010265,-0.00071078562899426,0.00205896161110839
"14","England and Wales","Females",1855,9.63170123100584,0.00441596397749486,-0.00311515460272493,0.524135873444022,0.242479385963257,7.54806443242324,0.00231456513644161,-0.000755360775249356,0.00155920436119225
"15","England and Wales","Females",1856,9.64231934560646,0.00339996655816228,-0.00180273635279568,0.523985612328986,0.243349942071508,7.56151997805176,0.00178153355887674,-0.00043869578702303,0.00134283777185371
"16","England and Wales","Females",1857,9.64794139211688,0.00200326280967602,-0.00110601005193776,0.525087642966739,0.244186547279547,7.57912826337418,0.00105188854697571,-0.000270072775839154,0.000781815771136553
"17","England and Wales","Females",1858,9.64542248070524,0.000292920443535892,-0.00140210592909369,0.526877131158739,0.245034378222087,7.59478730494934,0.000154333082947936,-0.000343564154536973,-0.000189231071589037
"18","England and Wales","Females",1859,9.6335044673914,-0.0015248026295053,-0.002127150509439,0.528788659010904,0.245826968739055,7.60316318985077,-0.000806298337712407,-0.000522910961787126,-0.00132920929949953
"19","England and Wales","Females",1860,9.61209967489905,-0.00327916209108601,-0.00313735343850087,0.530200808397393,0.246474558777062,7.59931328098657,-0.00173861439155989,-0.000773277804482199,-0.00251189219604209
"20","England and Wales","Females",1861,9.58262119239635,-0.00475418355997137,-0.00426580468223465,0.53068915023675,0.246937937715248,7.58119124152662,-0.00252299363351073,-0.00105338901092708,-0.00357638264443781
"21","England and Wales","Females",1862,9.54971067155015,-0.00543002382704295,-0.00486710711383678,0.530467546419592,0.247263436371678,7.55432696927929,-0.0028804514165314,-0.00120345763015632,-0.00408390904668772
"22","England and Wales","Females",1863,9.51856866125208,-0.00518386544655652,-0.00475179601747498,0.529865431905773,0.247493566386619,7.52551304145845,-0.00274675110378108,-0.00117603894310661,-0.0039227900468877
"23","England and Wales","Females",1864,9.4950071559538,-0.00389240009939639,-0.00378010864260404,0.529189543944321,0.247646464249505,7.50175109322113,-0.00205981743344841,-0.000936130539819884,-0.00299594797326829
"24","England and Wales","Females",1865,9.48536957609616,-0.00143645930754538,-0.00192495752195488,0.528709507740448,0.24774240123768,7.49022498246671,-0.000759469693381503,-0.000476893598769637,-0.00123636329215114
"25","England and Wales","Females",1866,9.49369944119873,0.00173676778270478,0.000493052935950796,0.528638264385104,0.247806032685942,7.49584374764342,0.000918121906289018,0.000122181491962123,0.00104030339825114
"26","England and Wales","Females",1867,9.51328738264528,0.00361254355173211,0.00220051317685802,0.528992548713964,0.247836177806602,7.51327047583958,0.00191100862077097,0.000545366774965556,0.00245637539573652
