"","Year","country","Sex","Age","Mx","Dx","Nx","delta","sdelta"
"19497",2000,"England and Wales","Males",87,0.171942909827136,6842.89451498725,39797.48,0.0491291666666667,0.0488561600096821
"19498",2000,"England and Wales","Males",88,0.188841600785452,6059.93452286917,32090.04,0.0491291666666667,0.0488561600096821
"19499",2000,"England and Wales","Males",89,0.207278439760596,5252.64708754207,25341.02,0.0491291666666667,0.0488561600096821
"19500",2000,"England and Wales","Males",90,0.227491084876548,4477.03137510302,19680.03,0.0491291666666667,0.0488561600096821
"19501",2000,"England and Wales","Males",91,0.249767061877844,3756.96367504848,15041.87,0.0491291666666667,0.0488561600096821
"19502",2000,"England and Wales","Males",92,0.274260925929025,3027.34146737125,11038.18,0.0491291666666667,0.0488561600096821
"19503",2000,"England and Wales","Males",93,0.30076264998825,2343.30195858845,7791.2,0.0491291666666667,0.0488561600096821
"19504",2000,"England and Wales","Males",94,0.32888001225679,1765.53643619849,5368.33,0.0491291666666667,0.0488561600096821
"19505",2000,"England and Wales","Males",95,0.358036324443809,1280.37011948026,3576.09,0.0491291666666667,0.0488561600096821
"19506",2000,"England and Wales","Males",96,0.387451481612318,905.962301394819,2338.26,0.0491291666666667,0.0488561600096821
"19507",2000,"England and Wales","Males",97,0.416575155521747,606.595912712992,1456.15,0.0491291666666667,0.0488561600096821
"19508",2000,"England and Wales","Males",98,0.44582868651909,387.474169740606,869.11,0.0491291666666667,0.0488561600096821
"19509",2000,"England and Wales","Males",99,0.47598482277231,247.445469966413,519.86,0.0491291666666667,0.0488561600096821
"19510",2000,"England and Wales","Males",100,0.508066427822377,147.181763475864,289.69,0.0491291666666667,0.0488561600096821
"19511",2000,"England and Wales","Males",101,0.543377402575656,80.0938291396517,147.4,0.0491291666666667,0.0488561600096821
"19512",2000,"England and Wales","Males",102,0.582739355118111,45.04575215063,77.3,0.0491291666666667,0.0488561600096821
"19513",2000,"England and Wales","Males",103,0.624531449094463,26.5738131589694,42.55,0.0491291666666667,0.0488561600096821
"19514",2000,"England and Wales","Males",104,0.666070185253604,14.9266328515333,22.41,0.0491291666666667,0.0488561600096821
"19515",2000,"England and Wales","Males",105,0.70396314494748,6.81436324309161,9.68,0.0491291666666667,0.0488561600096821
"19516",2000,"England and Wales","Males",106,0.734213944230749,3.42143698011529,4.66,0.0491291666666667,0.0488561600096821
"19517",2000,"England and Wales","Males",107,0.758695810277266,2.25332655652348,2.97,0.0491291666666667,0.0488561600096821
"19518",2000,"England and Wales","Males",108,0.805784392091712,1.36983346655591,1.7,0.0491291666666667,0.0488561600096821
"19519",2000,"England and Wales","Males",109,0.919943012303489,0.423173785659605,0.46,0.0491291666666667,0.0488561600096821
"19520",2000,"England and Wales","Males",110,1.18080642952046,0.0000118080642952046,0.00001,0.0491291666666667,0.0488561600096821
"19521",2001,"England and Wales","Females",50,0.00259721323896064,866.662890990687,333689.54,0.0505433333333333,0.0500455236928794
"19522",2001,"England and Wales","Females",51,0.00282716040803405,966.194113148974,341754.26,0.0505433333333333,0.0500455236928794
"19523",2001,"England and Wales","Females",52,0.00307660317264357,1093.44061206386,355405.15,0.0505433333333333,0.0500455236928794
"19524",2001,"England and Wales","Females",53,0.00335082953925206,1248.94953388793,372728.46,0.0505433333333333,0.0500455236928794
"19525",2001,"England and Wales","Females",54,0.00365657624068945,1435.07512277814,392464.16,0.0505433333333333,0.0500455236928794
"19526",2001,"England and Wales","Females",55,0.00400239552426755,1328.33563893086,331885.15,0.0505433333333333,0.0500455236928794
"19527",2001,"England and Wales","Females",56,0.00439729291407868,1403.22634199466,319111.41,0.0505433333333333,0.0500455236928794
"19528",2001,"England and Wales","Females",57,0.00484427772551754,1489.16522186761,307407.07,0.0505433333333333,0.0500455236928794
"19529",2001,"England and Wales","Females",58,0.00534348336723735,1583.55866220173,296353.25,0.0505433333333333,0.0500455236928794
"19530",2001,"England and Wales","Females",59,0.00589311920195165,1602.54430942127,271934.82,0.0505433333333333,0.0500455236928794
"19531",2001,"England and Wales","Females",60,0.006488807198182,1660.56375747729,255912.02,0.0505433333333333,0.0500455236928794
"19532",2001,"England and Wales","Females",61,0.00712556298586547,1868.48279754985,262222.48,0.0505433333333333,0.0500455236928794
"19533",2001,"England and Wales","Females",62,0.00781126718456918,2061.22109345371,263877.94,0.0505433333333333,0.0500455236928794
"19534",2001,"England and Wales","Females",63,0.00856210322421334,2249.08693897997,262679.26,0.0505433333333333,0.0500455236928794
"19535",2001,"England and Wales","Females",64,0.00939950459422338,2400.07711668772,255340.81,0.0505433333333333,0.0500455236928794
"19536",2001,"England and Wales","Females",65,0.0103515144091924,2577.02400428863,248951.4,0.0505433333333333,0.0500455236928794
"19537",2001,"England and Wales","Females",66,0.0114523656121741,2768.91860061463,241777,0.0505433333333333,0.0500455236928794
"19538",2001,"England and Wales","Females",67,0.012726967519557,3000.9770693884,235796.71,0.0505433333333333,0.0500455236928794
"19539",2001,"England and Wales","Females",68,0.0141950835875316,3325.29826376774,234257.04,0.0505433333333333,0.0500455236928794
"19540",2001,"England and Wales","Females",69,0.0158773386396462,3741.72538938968,235664.52,0.0505433333333333,0.0500455236928794
"19541",2001,"England and Wales","Females",70,0.0177945760064526,4204.68516910021,236290.27,0.0505433333333333,0.0500455236928794
"19542",2001,"England and Wales","Females",71,0.0199671376026512,4650.30122192649,232897.74,0.0505433333333333,0.0500455236928794
"19543",2001,"England and Wales","Females",72,0.0224159796869687,5067.60159885391,226070.94,0.0505433333333333,0.0500455236928794
"19544",2001,"England and Wales","Females",73,0.0251615220087651,5527.19430061285,219668.52,0.0505433333333333,0.0500455236928794
"19545",2001,"England and Wales","Females",74,0.0282213149844225,6099.94382133033,216146.69,0.0505433333333333,0.0500455236928794
"19546",2001,"England and Wales","Females",75,0.0316084080867802,6720.88348421292,212629.61,0.0505433333333333,0.0500455236928794
"19547",2001,"England and Wales","Females",76,0.0353314694211884,7334.08840340089,207579.49,0.0505433333333333,0.0500455236928794
"19548",2001,"England and Wales","Females",77,0.0394251930385579,7986.66492780707,202577.7,0.0505433333333333,0.0500455236928794
"19549",2001,"England and Wales","Females",78,0.0439585870772079,8773.78714735867,199592.11,0.0505433333333333,0.0500455236928794
"19550",2001,"England and Wales","Females",79,0.0490211443287253,9806.54315396881,200047.21,0.0505433333333333,0.0500455236928794
"19551",2001,"England and Wales","Females",80,0.0547274288536211,11169.7817596865,204098.42,0.0505433333333333,0.0500455236928794
"19552",2001,"England and Wales","Females",81,0.061221595186283,10823.3976482125,176790.52,0.0505433333333333,0.0500455236928794
